,NAME,G,GS,MP,FG,FGA,FG_pct,P3,PA3,P3_pct,P2,PA2,P2_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,futPTS
0,Dalibor Bagaric,31.66666666666667,0.0,9.266666666666667,0.9,2.7,0.32466666666666666,0.0,0.0,0.0,0.9,2.6333333333333333,0.327,0.32466666666666666,0.5000000000000001,0.8666666666666667,0.6,0.8000000000000002,1.4666666666666668,2.266666666666667,0.4000000000000001,0.3,0.43333333333333335,0.6666666666666666,1.5333333333333332,2.3000000000000003,0.0
1,John Bagley,75.0,29.0,22.23333333333333,3.333333333333333,7.366666666666667,0.44766666666666666,0.0,0.2333333333333333,0.07766666666666666,3.2999999999999994,7.099999999999999,0.4606666666666667,0.449,1.5,1.9666666666666668,0.7680000000000001,0.5333333333333333,1.8333333333333333,2.3666666666666667,5.166666666666667,1.1333333333333335,0.10000000000000002,2.1666666666666665,1.4,8.166666666666666,3.9
2,James Bailey,75.33333333333333,0.0,20.3,3.533333333333333,7.133333333333333,0.4886666666666668,0.0,0.0,0.16666666666666666,3.533333333333333,7.133333333333333,0.4886666666666668,0.4890000000000001,1.9666666666666663,2.9333333333333336,0.6646666666666667,1.6666666666666667,3.466666666666667,5.133333333333334,0.8000000000000002,0.5666666666666667,1.2,1.9,3.0666666666666664,9.1,2.2
3,Thurl Bailey,81.0,45.0,28.2,5.3,11.1,0.4833333333333333,0.0,0.03333333333333333,0.3333333333333333,5.3,11.066666666666668,0.4843333333333333,0.4836666666666667,2.1333333333333333,2.5666666666666664,0.8079999999999999,1.7,4.4,6.1000000000000005,1.7333333333333332,0.5333333333333333,1.3999999999999997,1.6666666666666667,2.3666666666666667,12.766666666666666,4.6000000000000005
4,Maurice Baker,3.333333333333333,0.0,3.1,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.4666666666666666,0.0,0.0
5,Vin Baker,82.0,75.66666666666667,37.56666666666667,7.0,14.333333333333336,0.491,0.06666666666666668,0.3333333333333333,0.2333333333333333,6.966666666666666,14.0,0.496,0.4933333333333334,3.3000000000000003,5.366666666666667,0.6106666666666666,3.3666666666666667,5.866666666666667,9.266666666666666,2.733333333333333,0.8333333333333334,1.3,2.4333333333333336,3.1666666666666665,17.433333333333334,7.0
6,Renaldo Balkman,62.0,3.6666666666666665,14.966666666666667,1.8333333333333333,3.5333333333333337,0.5173333333333333,0.03333333333333333,0.2333333333333333,0.18466666666666667,1.8,3.3000000000000003,0.5416666666666666,0.5233333333333333,0.7333333333333334,1.3333333333333333,0.5483333333333333,1.4333333333333336,2.3666666666666667,3.8,0.6,0.7999999999999999,0.5,0.6666666666666666,1.9666666666666663,4.433333333333334,0.3666666666666667
7,Gene Banks,80.33333333333333,50.33333333333334,29.133333333333336,5.133333333333333,9.6,0.5316666666666667,0.0,0.10000000000000002,0.05566666666666667,5.133333333333333,9.566666666666666,0.5356666666666666,0.5316666666666667,2.2333333333333334,3.1666666666666665,0.71,2.4333333333333336,4.233333333333333,6.666666666666668,2.8000000000000003,1.0,0.26666666666666666,1.8333333333333333,2.833333333333333,12.533333333333333,3.1666666666666665
8,Marcus Banks,73.33333333333333,11.0,19.0,2.466666666666667,5.7,0.4233333333333333,0.3333333333333333,0.9666666666666668,0.3396666666666666,2.1666666666666665,4.733333333333333,0.4403333333333333,0.4536666666666666,1.5666666666666669,2.033333333333333,0.767,0.4000000000000001,1.4666666666666668,1.8333333333333333,2.6333333333333333,0.9333333333333336,0.20000000000000004,1.5333333333333332,2.2333333333333334,6.833333333333332,1.8333333333333333
9,Leandro Barbosa,63.33333333333334,21.0,22.2,3.5,7.400000000000001,0.4676666666666667,1.1666666666666667,2.8666666666666667,0.402,2.333333333333333,4.533333333333333,0.511,0.5466666666666667,1.1666666666666667,1.5333333333333332,0.774,0.43333333333333335,1.7,2.1666666666666665,2.4,0.8666666666666667,0.10000000000000002,1.5666666666666664,2.3666666666666667,9.333333333333334,6.033333333333334
